_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,extra_people,guests_included,address_street,country,host_neighbourhood,host_name,host_response_rate,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,availability_30,availability_60,availability_90,availability_365,weekly_price,monthly_price
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,2016-01-03 05:00:00,2019-01-20 05:00:00,8,3.0,5.0,51,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",80.00,200.00,15.00,6,"Porto, Porto, Portugal",Portugal,,Ana&Gonçalo,100.0,9.0,9.0,10.0,10.0,10.0,9.0,89.0,28,47,74,239,,
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,,,4,1.0,2.0,0,1.0,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",317.00,,0.00,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Jardim Botânico,Ynaie,,,,,,,,,0,0,0,0,1492.00,4849.00
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2013-05-24 04:00:00,2019-02-07 05:00:00,2,1.0,1.0,96,1.0,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",115.00,,0.00,1,"Honolulu, HI, United States",United States,Waikiki,David,98.0,9.0,8.0,9.0,9.0,10.0,9.0,84.0,16,46,76,343,650.00,2150.00
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,2016-01-31 05:00:00,2016-01-31 05:00:00,1,1.0,1.0,1,1.5,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",40.00,,0.00,1,"Brooklyn, NY, United States",United States,Bushwick,Josh,,10.0,10.0,10.0,10.0,8.0,8.0,100.0,0,0,0,0,,
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,,,2,1.0,1.0,0,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in']",701.00,1000.00,0.00,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Lagoa,Livia,,,,,,,,,28,58,88,363,,
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2013-04-29 04:00:00,2018-08-12 04:00:00,2,1.0,1.0,70,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",135.00,0.00,0.00,1,"New York, NY, United States",United States,,Greta,100.0,10.0,9.0,10.0,10.0,10.0,10.0,94.0,0,0,0,93,,
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2016-01-18 05:00:00,2019-01-28 05:00:00,4,1.0,3.0,70,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",119.00,600.00,40.00,3,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Copacabana,Ana Valéria,100.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,7,19,33,118,,
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,2016-04-02 04:00:00,2016-04-02 04:00:00,6,2.0,6.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",527.00,,211.00,1,"Kadıköy, İstanbul, Turkey",Turkey,Moda,Zeynep,,10.0,10.0,10.0,10.0,10.0,10.0,100.0,27,57,87,362,,
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2016-02-10 05:00:00,2016-02-10 05:00:00,8,1.0,8.0,1,4.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",250.00,0.00,40.00,4,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Catete,Beatriz,80.0,10.0,6.0,8.0,8.0,8.0,8.0,80.0,10,10,21,296,,
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,,,4,1.0,2.0,0,1.0,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace']",50.00,,31.00,1,"Montréal, Québec, Canada",Canada,Mile End,Konstantin,,,,,,,,,0,0,0,0,,
