_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,extra_people,guests_included,address_street,country,host_neighbourhood,host_name,host_response_rate,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,availability_30,availability_60,availability_90,availability_365,weekly_price,monthly_price,amenities_count,first_review_date,last_review_date
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3,5,51,1,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",80,200.0,15,6,"Porto, Porto, Portugal",Portugal,,Ana&Gonçalo,100,9,9,10,10,10,9,89,28,47,74,239,,,32,2016-01-03,2019-01-20
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1,1,96,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",115,,0,1,"Honolulu, HI, United States",United States,Waikiki,David,98,9,8,9,9,10,9,84,16,46,76,343,650.0,2150.0,36,2013-05-24,2019-02-07
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",40,,0,1,"Brooklyn, NY, United States",United States,Bushwick,Josh,100,10,10,10,10,8,8,100,0,0,0,0,,,10,2016-01-31,2016-01-31
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",135,0.0,0,1,"New York, NY, United States",United States,,Greta,100,10,9,10,10,10,10,94,0,0,0,93,,,11,2013-04-29,2018-08-12
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",119,600.0,40,3,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Copacabana,Ana Valéria,100,10,10,10,10,10,10,98,7,19,33,118,,,31,2016-01-18,2019-01-28
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2,6,1,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",527,,211,1,"Kadıköy, İstanbul, Turkey",Turkey,Moda,Zeynep,100,10,10,10,10,10,10,100,27,57,87,362,,,19,2016-04-02,2016-04-02
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1,8,1,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",250,0.0,40,4,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Catete,Beatriz,80,10,6,8,8,8,8,80,10,10,21,296,,,11,2016-02-10,2016-02-10
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0,2,5,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",205,,0,1,"Brooklyn, NY, United States",United States,Greenpoint,Mae,100,9,10,10,8,9,9,88,30,31,31,243,,,23,2016-01-03,2018-02-18
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",699,,0,1,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,Soho,Giovanni,100,10,10,10,10,10,8,100,0,0,0,0,5000.0,,10,2015-12-19,2018-03-27
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1,1,178,1,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",30,0.0,0,1,"Porto, Porto, Portugal",Portugal,,Fábio,90,10,10,10,10,10,10,97,16,40,67,335,,,32,2016-01-02,2019-02-09
